from_COW,From,to_COW,sentiment,text,decision,id,to,theme,year,action,institutions
560,South Africa,710,,114.8 Intensify its engagement with the international community to exchange best practices and cooperation on law enforcement supervision and training with a view to contributing to its judicial reform processes on the basis of equality and mutual respect (South Africa);,support,2377,China,"['police', 'discrimination', 'judiciary']",2009,['cooperate'],['int-community']
840,Philippines,710,,"114.28 Share best practices with other developing countries on poverty reduction programmes and strategies, especially in rural areas (Philippines);",support,2400,China,['poverty'],2009,['share'],[]
820,Malaysia,710,,114.28.2 Share its experiences and best practices in the field of reduction of poverty and improvement of standards of living with other developing countries (Malaysia);,support,2402,China,['poverty'],2009,['share'],[]
615,Algeria,710,,114.40 Share with interested developing countries their good practices in the implementation of this concept of Scientific Outlook on Development (Algeria);,support,2415,China,[],2009,"['share', 'implement']",[]
540,Angola,710,,114.42 Share good practices that allowed China to achieve poverty reduction targets set in the United Nations Millennium Development Goals (Angola). );,support,2417,China,['poverty'],2009,['share'],['un']
710,China,40,,"130.16 Further develop and share experiences and good practices regarding the treatment of prisoners, particularly, the plans aimed at turning prisons into education and human improvement centres (China, Iran);",support,2714,Cuba,"['prisoners', 'education']",2009,['share'],[]
630,Iran,40,,"130.16 Further develop and share experiences and good practices regarding the treatment of prisoners, particularly, the plans aimed at turning prisons into education and human improvement centres (China, Iran);",support,2715,Cuba,"['prisoners', 'education']",2009,['share'],[]
101,Venezuela,40,,"130.17 Continue to share and extend their experiences and good practices in assisting vulnerable groups, especially through the implementation of the National Social Workers Programme (Venezuela);",support,2716,Cuba,['labor'],2009,"['share', 'continue', 'implement']",[]
42,Dominican Republic,40,,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2719,Cuba,['environment'],2009,['share'],[]
771,Bangladesh,40,,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2720,Cuba,['environment'],2009,['share'],[]
91,Honduras,40,,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2721,Cuba,['environment'],2009,['share'],[]
770,Pakistan,40,,130.21 Share the good practices in the field of international cooperation for the promotion of health services of the meritorious services extended by Medical Brigade Henry Reeve to Pakistan during the 2005 earthquake (Pakistan);,support,2722,Cuba,['health'],2009,"['share', 'cooperate']",[]
522,Djibouti,40,,"130.23 Share its experience and good practice in guaranteeing the right to education for all Cubans and in the promotion and protection of the right to health, which has yielded encouraging and positive results, particularly taken into account their under-development status, and to continue cooperation programmes that provide health professionals and technicians to developing countries, and education opportunities in Cuba for students from the developing world (Djibouti, Bhutan);",support,2727,Cuba,"['education', 'health']",2009,"['share', 'continue', 'cooperate']",[]
760,Bhutan,40,,"130.23 Share its experience and good practice in guaranteeing the right to education for all Cubans and in the promotion and protection of the right to health, which has yielded encouraging and positive results, particularly taken into account their under-development status, and to continue cooperation programmes that provide health professionals and technicians to developing countries, and education opportunities in Cuba for students from the developing world (Djibouti, Bhutan);",support,2728,Cuba,"['education', 'health']",2009,"['share', 'continue', 'cooperate']",[]
771,Bangladesh,40,,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2732,Cuba,['health'],2009,"['share', 'implement']",[]
145,Bolivia,40,,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2733,Cuba,['health'],2009,"['share', 'implement']",[]
91,Honduras,40,,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2734,Cuba,['health'],2009,"['share', 'implement']",[]
145,Bolivia,40,,"130.26 Share its experiences and good practices in international cooperation aimed at implementing the right to health of millions of people, through initiatives such as the Comprehensive Health Programme and Operation Miracle, among others (Bolivia);",support,2735,Cuba,['health'],2009,"['share', 'implement', 'cooperate']",[]
679,Yemen,40,,"130.27 Share its experience and good practices in the area of social protection and health, particularly on programmes to control epidemics, including HIV/AIDS programs and the special attention provided to those affected (Yemen, Djibouti);",support,2736,Cuba,"['hiv', 'health']",2009,['share'],[]
522,Djibouti,40,,"130.27 Share its experience and good practices in the area of social protection and health, particularly on programmes to control epidemics, including HIV/AIDS programs and the special attention provided to those affected (Yemen, Djibouti);",support,2737,Cuba,"['hiv', 'health']",2009,['share'],[]
679,Yemen,40,,130.27.1 Share its experience and good practices in the area providing universal medical coverage free of charge (Yemen);,support,2738,Cuba,['health'],2009,['share'],[]
750,India,40,,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2739,Cuba,"['children', 'hiv', 'health', 'women']",2009,['share'],[]
522,Djibouti,40,,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2740,Cuba,"['children', 'hiv', 'health', 'women']",2009,['share'],[]
91,Honduras,40,,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2741,Cuba,"['children', 'hiv', 'health', 'women']",2009,['share'],[]
840,Philippines,40,,"130.29 Share its experiences, expertise, and good practices in the promotion and protection of the right to health, including initiatives in place with regard to public health and health tourism (Philippines);",support,2742,Cuba,['health'],2009,['share'],[]
560,South Africa,40,,"130.31 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the right to education, taking into account positive results brought to all Cuban citizens in spite of obstacles faced by the country (South Africa, Qatar);",support,2744,Cuba,['education'],2009,['share'],['int-community']
694,Qatar,40,,"130.31 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the right to education, taking into account positive results brought to all Cuban citizens in spite of obstacles faced by the country (South Africa, Qatar);",support,2745,Cuba,['education'],2009,['share'],['int-community']
812,Laos,40,,"130.31.1 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the creation of conditions for free education at all levels (Lao People's Democratic Republic);",support,2746,Cuba,['education'],2009,['share'],['int-community']
694,Qatar,40,,"130.38 Continue positive efforts to eliminate, in accordance with international obligations and commitments, all forms of discrimination, especially discrimination against vulnerable groups and all groups that have been historically most deprived of (Qatar);",support,2756,Cuba,['discrimination'],2009,['continue'],[]
365,Russia,40,,"130.39 Step up its implementation of best practices on gender equality and empowerment of women and continue the programmes that are successfully being carried out in the area of gender equality and access of women to decision-making positions, and continue the work to achieve equal representation for men and women not only in the National Assembly, but also at all the levels of State powers (Russian Federation, Malaysia);",support,2757,Cuba,"['discrimination', 'women', 'women-political']",2009,"['continue', 'implement']",[]
820,Malaysia,40,,"130.39 Step up its implementation of best practices on gender equality and empowerment of women and continue the programmes that are successfully being carried out in the area of gender equality and access of women to decision-making positions, and continue the work to achieve equal representation for men and women not only in the National Assembly, but also at all the levels of State powers (Russian Federation, Malaysia);",support,2758,Cuba,"['discrimination', 'women', 'women-political']",2009,"['continue', 'implement']",[]
820,Malaysia,40,,"130.48 Consider sharing its experience and best practices with other developing countries in achieving the MDGs, particularly in areas of primary education, gender equality and reduction of child mortality (Malaysia);",support,2773,Cuba,"['education', 'children', 'discrimination', 'women']",2009,['share'],[]
850,Indonesia,40,,130.50 Continue its commitment to fulfil the right to education and to the right to health for all its citizens and share its experiences and best practices in the promotion and protection of these two fundamental rights (Indonesia) );,support,2775,Cuba,"['education', 'health']",2009,"['share', 'continue']",[]
694,Qatar,40,,"130.52 Consider adopting a general legal framework for the right to food, as a good practice and reference for developing countries (Qatar, Bahrain);",support,2777,Cuba,['food'],2009,[],[]
692,Bahrain,40,,"130.52 Consider adopting a general legal framework for the right to food, as a good practice and reference for developing countries (Qatar, Bahrain);",support,2778,Cuba,['food'],2009,[],[]
600,Morocco,522,,"67.26 Consolidate and enhances its progress achieved for the promotion of civil and political rights, notably in the areas of freedom of expression, freedom of the media and the dissemination of a human rights culture (Morocco);",support,2887,Djibouti,['speech'],2009,[],[]
434,Benin,255,,"81.8 Be one of the countries contributing to best practices of the Human Rights Council by speeding up with the establishment of national preventive mechanisms following the recent ratification of the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment (Benin);",consider,2923,Germany,['torture'],2009,"['ratify', 'establish']","['CAT', 'OP', 'HRC']"
640,Turkey,666,,100.31 A sustained improvement of the humanitarian situation in the Palestine territories can only be achieved by the permanent settlement of the conflict. Encouraged the international community to continue its efforts to that end; necessary measures must be taken to ameliorate the living conditions of the Palestine people. Call on all parties concerned to refrain from any action that could undermine the process leading to a durable solution (Turkey);,consider,3043,Israel,[],2009,['continue'],['int-community']
660,Lebanon,663,,92.8 Step up its excellent cooperation with civil society and to ensure that this helps further to protect human rights (Lebanon);,support,3158,Jordan,['civil-so'],2009,['cooperate'],[]
820,Malaysia,663,,92.11.1 Share its experiences and good practices in promoting human rights and democratic ideas within Islam and eliminating negative references to adherents of other religions in its school curriculum and textbooks (Malaysia);,support,3165,Jordan,"['education', 'religion', 'self-determ']",2009,['share'],[]
760,Bhutan,663,,"92.29.1 continue to implement and strengthen its Poverty Alleviation Strategy and other programmes for poverty reduction, in order to build upon progress achieved thus far, and to bridge any existing regional and gender disparities (Bhutan);",support,3205,Jordan,"['poverty', 'women']",2009,"['continue', 'implement']",[]
820,Malaysia,663,,"92.30.1 continue efforts as to ensure that MDG1 and national targets can be achieved for 2015 as planned, so that its population be able to fully enjoy the rights inherent to a decent and respectable life (Malaysia, Cuba);",support,3207,Jordan,[],2009,['continue'],[]
40,Cuba,663,,"92.30.1 continue efforts as to ensure that MDG1 and national targets can be achieved for 2015 as planned, so that its population be able to fully enjoy the rights inherent to a decent and respectable life (Malaysia, Cuba);",support,3208,Jordan,[],2009,['continue'],[]
615,Algeria,663,,"92.33 Share its experience and best practices, with other interested countries, on the protection and consolidation of the right of persons with disabilities and exchange experience with interested countries (Algeria);",support,3211,Jordan,['disabilities'],2009,['share'],[]
760,Bhutan,663,,"92.33.3 consider stepping up positive efforts, through greater investment in the health sector to strengthen existing services (Bhutan);",support,3214,Jordan,['health'],2009,[],[]
600,Morocco,663,,"92.40 Benefit from its successful experiences in the areas contained in the national report, which focuses on the challenges, and request the necessary technical assistance from the relevant international organizations (Morocco);",support,3225,Jordan,[],2009,"['report', 'assistance']",[]
40,Cuba,212,,53.18 Continue applying its commitment to allocate 0.7 per cent of its GDP to official development assistance and encourage its partners in the European Union and OECD to replicate this good practice (Cuba). );,consider,3339,Luxembourg,[],2009,['continue'],[]
615,Algeria,820,,"104.35 Strengthen the monitoring mechanism at the federal and district level to ensure that the programmes on poverty eradication reach the intended target group, as well as to share best practices with interested developing countries (Algeria);",support,3472,Malaysia,['poverty'],2009,['share'],[]
40,Cuba,820,,104.39 Continue positive efforts directed at eradicating poverty (Cuba);,support,3477,Malaysia,['poverty'],2009,['continue'],[]
40,Cuba,820,,"104.43 Continue with positive efforts to promote economic, social and cultural rights, particularly the priority given to health, education and the care of disabled (Cuba);",support,3482,Malaysia,"['culture', 'education', 'health', 'disabilities']",2009,['continue'],[]
625,Sudan,820,,"104.52 Share in detail and through the appropriate mechanisms of the Council, its achievements, experiences and lessons drawn in the following areas: (a) how it managed to bring down poverty rates in urban and rural areas in a consistent and progressive way during the last 35 years; (b) how the establishment of the Anti-Corruption Academy in Malaysia helped and continues to help fighting corruption and raising awareness (Sudan);",support,3494,Malaysia,"['corruption', 'poverty']",2009,"['share', 'continue', 'establish']",[]
704,Uzbekistan,820,,"104.56.2 Share its experience and best practices with other developing countries in the area of poverty eradication, in particular between the rural and urban population (Uzbekistan);",support,3500,Malaysia,['poverty'],2009,['share'],[]
696,United Arab Emirates,820,,104.56.3 Share its experience and good practices with other developing countries with respect to poverty eradication (The United Arab Emirates);,support,3501,Malaysia,['poverty'],2009,['share'],[]
771,Bangladesh,820,,104.56.4 Share its experiences and best practices in poverty alleviation with other developing countries (Bangladesh);,support,3502,Malaysia,['poverty'],2009,['share'],[]
812,Laos,820,,"104.57 Share its experiences and best practices with other countries in the area of poverty eradication, especially in developing small and medium-sized enterprises (Lao People's Democratic Republic);",support,3503,Malaysia,['poverty'],2009,['share'],[]
775,Myanmar,820,,104.58 Continue to share and extend its experience and best practices in the efforts in developing comprehensive policies and strategies for the advancement of indigenous groups which focus on uplifting the status and quality of life of the community via socio-economic programmes (Myanmar);,support,3504,Malaysia,['indigenous'],2009,"['share', 'continue']",[]
40,Cuba,820,,"104.59 Share with the international community their good practices in matters of access to health, particularly the advantages of the teleprimary care system (Cuba);",support,3505,Malaysia,['health'],2009,['share'],['int-community']
840,Philippines,820,,104.60 Share its best practices and strategies on reduction of maternal mortality rates (The Philippines);,support,3506,Malaysia,"['health', 'women']",2009,['share'],[]
483,Chad,820,,104.62 Continue its positive efforts to improve the human rights situation in its country (Chad). );,support,3508,Malaysia,[],2009,['continue'],[]
820,Malaysia,590,,80.15.1 Encourage Mauritius to continue with its positive efforts in promoting and protecting human rights of its people and share its experience in this area with other countries (Malaysia);,support,3641,Mauritius,[],2009,"['share', 'continue']",[]
840,Philippines,221,,"80.21 Share with the members of the international community its best practices and policies and programmes, including educational programmes, with respect to women, children, older persons and persons with disabilities (Philippines);",support,3890,Monaco,"['elderly', 'education', 'children', 'women', 'disabilities']",2009,['share'],['int-community']
771,Bangladesh,221,,80.23 Make sustained efforts to realize its commitments to contribute to the achievement of internationally-agreed development goals by raising its aid financing to at least 0.7 per cent of its GDP to reinforce the suggestions made by different Treaty Bodies (Bangladesh). );,support,3892,Monaco,['poverty'],2009,[],[]
522,Djibouti,475,,103.6 Continue on achievements in the field of human rights (Djibouti);,consider,4055,Nigeria,[],2009,['continue'],[]
600,Morocco,475,,"103.6.2 consolidate its achievements in the human rights field and continue to reinforce its efforts to promote good governance, democracy and rule of law (Morocco);",consider,4057,Nigeria,"['governance', 'self-determ']",2009,['continue'],[]
370,Belarus,475,,103.29.2 Foster the further development of education for girls and the achievement of gender equality (Belarus);,consider,4128,Nigeria,"['education', 'children', 'discrimination', 'women']",2009,[],[]
615,Algeria,475,,"103.32.6 Formulate specific technical assistance requests in order to promote the achievement of the Millennium Development Goals and to address them to relevant United Nations bodies and mechanisms, in particular to OHCHR (Algeria);",consider,4146,Nigeria,['poverty'],2009,[],['un']
731,North Korea,365,,85.19 Continue with its current positive efforts for furtherance of the human rights protection (Democratic People's South Korea);,consider,4188,Russia,[],2009,['continue'],[]
40,Cuba,365,,85.52 Continue its positive efforts to consolidate the areas of health and education especially for disabled children (Cuba) );,consider,4253,Russia,"['education', 'children', 'health', 'disabilities']",2009,['continue'],[]
40,Cuba,365,,"85.53 Continue its positive efforts to promote and protect economic, social and cultural rights and combat poverty (Cuba);",consider,4254,Russia,"['culture', 'poverty']",2009,['continue'],[]
679,Yemen,670,,"87.38 Share its good practices in terms of affording decent housing for vulnerable groups, so that others could benefit from such a positive experience (Yemen);",consider,4335,Saudi Arabia,['infrastructure'],2009,['share'],[]
40,Cuba,345,,57.8 To continue its positive efforts to promote and protect children rights and to attain full empowerment of women (Cuba);,consider,4384,Serbia,"['children', 'women']",2009,['continue'],[]
359,Moldova,317,,"89.87 Share with the members of the international community its best practices regarding human rights, particularly on the new policy on domestic violence and persons with disabilities (Republic of Moldova);",consider,4562,Slovakia,"['sex-violence', 'disabilities', 'women']",2009,['share'],['int-community']
70,Mexico,947,,"68.10 That features of Tuvalu's legal framework, which incorporates customary law but excludes those precepts which may be perceived as violations of human rights, and which always give precedence to the interpretation of law that is compatible with the international obligations, be singled out as good practices in the field of human rights (Mexico). );",consider,4689,Tuvalu,[],2009,[],[]
670,Saudi Arabia,696,,91.4 To continue its achievements in the area of human rights and to take them into account as an encouraging factor for the promotion and protection of human rights (Saudi Arabia);,support,4693,United Arab Emirates,[],2009,['continue'],[]
840,Philippines,696,,91.23 To share its experiences and best practices with other countries in establishing national legislation and mechanisms and pursuing international cooperation to curb human trafficking (Philippines);,support,4712,United Arab Emirates,['trafficking'],2009,"['share', 'cooperate', 'establish']",[]
780,Sri Lanka,165,,78.23 Continue with its excellent national plan to combat all forms of discrimination and make the results available in English so that countries like Sri Lanka can absorb them as best practices (Sri Lanka);,support,4775,Uruguay,['discrimination'],2009,['continue'],[]
660,Lebanon,816,,99.50 Uphold the progress it has achieved in ensuring religious freedom for the different communities and ensuring that religious and belief activities continue to be an enriching feature of Vietnamese society (Lebanon);,support,5009,Vietnam,['religion'],2009,['continue'],[]
615,Algeria,816,,"99.84 Share best practices and experience in the field of MDG 1 with interested countries, inter alia by contributing actively to the strengthening of South-South cooperation in this regard (Algeria);",support,5044,Vietnam,[],2009,"['share', 'cooperate']",[]
811,Cambodia,816,,"99.85 Continue its sustainable efforts and share its experiences and best practices in the area of poverty reduction with other developing countries, especially through the programme of South-South cooperation, along with its participation in international efforts to promote the right to development (Cambodia);",support,5045,Vietnam,['poverty'],2009,"['share', 'continue', 'cooperate']",[]
