From,text,sentiment,decision,to,year,id
Spain,109.107 Establish a standing moratorium on executions with a view to the abolition of the death penalty and ratify the Second Optional Protocol to the International Covenant on Civil and Political Rights (Spain);,2,consider,gambia,2014,35696
Portugal,"138.81 Positively consider visit requests from mandate holders, in particular the request from the Special Rapporteur on the human rights situation in the country (Portugal);",2,consider,iran,2014,35963
Uzbekistan,138.110 Continue to take measures to strengthen mechanisms for the protection of the rights of women and children (Uzbekistan);,3,consider,iran,2014,35992
Tajikistan,138.257 Pay special attention to the social and economic integration of the population in rural regions of the country through the development of the infrastructure and change of the regulatory framework in all spheres of life and sustenance (Tajikistan);,2,consider,iran,2014,36139
Uruguay,127.10 Ratify the Optional Protocol to CAT and the Optional Protocol to ICESCR (Uruguay);,2,consider,iraq,2014,36183
Botswana,127.145 Reform and strengthen the judiciary to effectively address issues of impunity and victim redress (Botswana);,2,consider,iraq,2014,36330
Pakistan,145.76 Ensure prosecution in cases where xenophobic crimes against racial and religious minorities are being committed (Pakistan);,2,consider,italy,2014,36503
Pakistan,"145.88 Continue to strengthen the National Office against Racial Discrimination with the view to combating hate speech and protect Roma, racial and religious minorities including Muslims from violence and discrimination (Pakistan);",3,consider,italy,2014,36515
Australia,"101.49 Continue efforts to ameliorate prison conditions, including steps to address overcrowding and violence, as well as improving access to health care, education and recreational activities (Australia);",3,consider,Macedonia,2014,36882
Angola,"108.135 Ensure that primary education is entirely free, given the high number of children who do not attend school (Angola);",2,support,madagascar,2014,37081
Finland,114.123. Ensure that adequate information on family planning and the regulation of fertility is publicly available (Finland);,2,support,nicaragua,2014,37384
Mexico,128.1 Consider positively the ratification of the Migrant Workers Convention (Mexico);,2,noted,portugal,2014,37688
France,124.46 Guarantee the exercise of freedom of religion or reach an agreement authorizing the opening of places of worship for people who are neither Muslims nor Christians (France);,2,consider,qatar,2014,37983
Bahrain,"115.81 Adopt immediate and positive measures to combat all forms of discrimination, xenophobia and related intolerance against the Roma communities and other ethnic groups, with regard to access to housing, quality education, employment and health care (Bahrain);",2,consider,slovenia,2014,38359
Greece,115.88 Take further measures to combat marginalization and discrimination against Roma (Greece);,3,consider,slovenia,2014,38366
Germany,"99.94. Take measures to improve access to grants for primary education, to make primary education compulsory, to improve the quality of primary education in remote regions and to increase the facilities to obtain secondary education throughout the country (Germany);",2,consider,vanuatu,2014,38728
Uruguay,115.6 Accelerate the legislative process for the rapid accession to the Rome Statute of the ICC and the Agreement on Privileges and Immunities of the ICC (Uruguay);,3,support,yemen,2014,39005
Oman,115.141 Continue its efforts to strengthen the educational and health sectors and raise awareness regarding human rights issues (Oman);,3,support,yemen,2014,39140
Colombia,"115.157 Continue to promote and protect effectively, in law and in practice, the human rights of women and of internally displaced persons (Colombia);",3,support,yemen,2014,39156
