from_COW,From,to_COW,sentiment,text,decision,id,to,theme,notes,year,action,institutions
710,China,40,4,"130.16 Further develop and share experiences and good practices regarding the treatment of prisoners, particularly, the plans aimed at turning prisons into education and human improvement centres (China, Iran);",support,2714,Cuba,"['prisoners', 'education']",,2009,[],[]
630,Iran,40,4,"130.16 Further develop and share experiences and good practices regarding the treatment of prisoners, particularly, the plans aimed at turning prisons into education and human improvement centres (China, Iran);",support,2715,Cuba,"['prisoners', 'education']",,2009,[],[]
101,Venezuela,40,4,"130.17 Continue to share and extend their experiences and good practices in assisting vulnerable groups, especially through the implementation of the National Social Workers Programme (Venezuela);",support,2716,Cuba,['labor'],,2009,"['continue', 'implement']",[]
42,Dominican Republic,40,4,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2719,Cuba,['environment'],,2009,[],[]
771,Bangladesh,40,4,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2720,Cuba,['environment'],,2009,[],[]
91,Honduras,40,4,"130.20 Share and transfer, in particular to other members of its region, its experiences and good practices in preparedness to prevent and response to mitigate the impact of hurricanes and other natural disasters, as well as its important achievements in consolidating a civil defence system with recognized results in the protection of the right to life and other basic human rights of citizens (Dominican Republic, Bangladesh, Honduras);",support,2721,Cuba,['environment'],,2009,[],[]
770,Pakistan,40,4,130.21 Share the good practices in the field of international cooperation for the promotion of health services of the meritorious services extended by Medical Brigade Henry Reeve to Pakistan during the 2005 earthquake (Pakistan);,support,2722,Cuba,['health'],,2009,['cooperate'],[]
522,Djibouti,40,4,"130.23 Share its experience and good practice in guaranteeing the right to education for all Cubans and in the promotion and protection of the right to health, which has yielded encouraging and positive results, particularly taken into account their under-development status, and to continue cooperation programmes that provide health professionals and technicians to developing countries, and education opportunities in Cuba for students from the developing world (Djibouti, Bhutan);",support,2727,Cuba,"['education', 'health']",,2009,"['continue', 'cooperate']",[]
760,Bhutan,40,4,"130.23 Share its experience and good practice in guaranteeing the right to education for all Cubans and in the promotion and protection of the right to health, which has yielded encouraging and positive results, particularly taken into account their under-development status, and to continue cooperation programmes that provide health professionals and technicians to developing countries, and education opportunities in Cuba for students from the developing world (Djibouti, Bhutan);",support,2728,Cuba,"['education', 'health']",,2009,"['continue', 'cooperate']",[]
771,Bangladesh,40,4,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2732,Cuba,['health'],,2009,['implement'],[]
145,Bolivia,40,4,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2733,Cuba,['health'],,2009,['implement'],[]
91,Honduras,40,4,"130.25 Share its experiences and best practices in building a robust and efficient healthcare system, as implemented in its country through universal and free coverage for all, which includes access to medicine and the advances in Cuban scientific research, with other countries aspiring to have similar health architecture (Bangladesh, Bolivia, Honduras);",support,2734,Cuba,['health'],,2009,['implement'],[]
145,Bolivia,40,4,"130.26 Share its experiences and good practices in international cooperation aimed at implementing the right to health of millions of people, through initiatives such as the Comprehensive Health Programme and Operation Miracle, among others (Bolivia);",support,2735,Cuba,['health'],,2009,"['implement', 'cooperate']",[]
679,Yemen,40,4,"130.27 Share its experience and good practices in the area of social protection and health, particularly on programmes to control epidemics, including HIV/AIDS programs and the special attention provided to those affected (Yemen, Djibouti);",support,2736,Cuba,"['hiv', 'health']",,2009,[],[]
522,Djibouti,40,4,"130.27 Share its experience and good practices in the area of social protection and health, particularly on programmes to control epidemics, including HIV/AIDS programs and the special attention provided to those affected (Yemen, Djibouti);",support,2737,Cuba,"['hiv', 'health']",,2009,[],[]
679,Yemen,40,4,130.27.1 Share its experience and good practices in the area providing universal medical coverage free of charge (Yemen);,support,2738,Cuba,['health'],,2009,[],[]
750,India,40,4,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2739,Cuba,"['children', 'hiv', 'health', 'women']",,2009,[],[]
522,Djibouti,40,4,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2740,Cuba,"['children', 'hiv', 'health', 'women']",,2009,[],[]
91,Honduras,40,4,"130.28 Share its experiences and good practices with regard to the right to health, in particular the primary, maternal and child care programs as well as HIV/AIDS control programs; and in view of the growing aging population (India, Djibouti, Honduras);",support,2741,Cuba,"['children', 'hiv', 'health', 'women']",,2009,[],[]
840,Philippines,40,4,"130.29 Share its experiences, expertise, and good practices in the promotion and protection of the right to health, including initiatives in place with regard to public health and health tourism (Philippines);",support,2742,Cuba,['health'],,2009,[],[]
560,South Africa,40,4,"130.31 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the right to education, taking into account positive results brought to all Cuban citizens in spite of obstacles faced by the country (South Africa, Qatar);",support,2744,Cuba,['education'],,2009,[],['int-community']
694,Qatar,40,4,"130.31 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the right to education, taking into account positive results brought to all Cuban citizens in spite of obstacles faced by the country (South Africa, Qatar);",support,2745,Cuba,['education'],,2009,[],['int-community']
812,Laos,40,4,"130.31.1 Share its experiences, best practices and information with and assist the international community in tackling challenges in the area of the creation of conditions for free education at all levels (Lao People's Democratic Republic);",support,2746,Cuba,['education'],,2009,[],['int-community']
694,Qatar,40,4,"130.38 Continue positive efforts to eliminate, in accordance with international obligations and commitments, all forms of discrimination, especially discrimination against vulnerable groups and all groups that have been historically most deprived of (Qatar);",support,2756,Cuba,['discrimination'],,2009,['continue'],[]
365,Russia,40,4,"130.39 Step up its implementation of best practices on gender equality and empowerment of women and continue the programmes that are successfully being carried out in the area of gender equality and access of women to decision-making positions, and continue the work to achieve equal representation for men and women not only in the National Assembly, but also at all the levels of State powers (Russian Federation, Malaysia);",support,2757,Cuba,"['discrimination', 'women', 'women-political']",,2009,"['continue', 'implement']",[]
820,Malaysia,40,4,"130.39 Step up its implementation of best practices on gender equality and empowerment of women and continue the programmes that are successfully being carried out in the area of gender equality and access of women to decision-making positions, and continue the work to achieve equal representation for men and women not only in the National Assembly, but also at all the levels of State powers (Russian Federation, Malaysia);",support,2758,Cuba,"['discrimination', 'women', 'women-political']",,2009,"['continue', 'implement']",[]
820,Malaysia,40,4,"130.48 Consider sharing its experience and best practices with other developing countries in achieving the MDGs, particularly in areas of primary education, gender equality and reduction of child mortality (Malaysia);",support,2773,Cuba,"['education', 'children', 'discrimination', 'women']",,2009,[],[]
850,Indonesia,40,4,130.50 Continue its commitment to fulfil the right to education and to the right to health for all its citizens and share its experiences and best practices in the promotion and protection of these two fundamental rights (Indonesia) );,support,2775,Cuba,"['education', 'health']",,2009,['continue'],[]
694,Qatar,40,4,"130.52 Consider adopting a general legal framework for the right to food, as a good practice and reference for developing countries (Qatar, Bahrain);",support,2777,Cuba,['food'],,2009,[],[]
692,Bahrain,40,4,"130.52 Consider adopting a general legal framework for the right to food, as a good practice and reference for developing countries (Qatar, Bahrain);",support,2778,Cuba,['food'],,2009,[],[]
600,Morocco,522,4,"67.26 Consolidate and enhances its progress achieved for the promotion of civil and political rights, notably in the areas of freedom of expression, freedom of the media and the dissemination of a human rights culture (Morocco);",support,2887,Djibouti,['speech'],,2009,[],[]
434,Benin,255,4,"81.8 Be one of the countries contributing to best practices of the Human Rights Council by speeding up with the establishment of national preventive mechanisms following the recent ratification of the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment (Benin);",consider,2923,Germany,['torture'],,2009,"['ratify', 'establish']","['CAT', 'OP', 'HRC']"
640,Turkey,666,4,100.31 A sustained improvement of the humanitarian situation in the Palestine territories can only be achieved by the permanent settlement of the conflict. Encouraged the international community to continue its efforts to that end; necessary measures must be taken to ameliorate the living conditions of the Palestine people. Call on all parties concerned to refrain from any action that could undermine the process leading to a durable solution (Turkey);,consider,3043,Israel,[],,2009,['continue'],['int-community']
660,Lebanon,663,4,92.8 Step up its excellent cooperation with civil society and to ensure that this helps further to protect human rights (Lebanon);,support,3158,Jordan,['civil-so'],,2009,['cooperate'],[]
820,Malaysia,663,4,92.11.1 Share its experiences and good practices in promoting human rights and democratic ideas within Islam and eliminating negative references to adherents of other religions in its school curriculum and textbooks (Malaysia);,support,3165,Jordan,"['education', 'religion', 'self-determ']",,2009,[],[]
760,Bhutan,663,4,"92.29.1 continue to implement and strengthen its Poverty Alleviation Strategy and other programmes for poverty reduction, in order to build upon progress achieved thus far, and to bridge any existing regional and gender disparities (Bhutan);",support,3205,Jordan,"['poverty', 'women']",,2009,"['continue', 'implement']",[]
820,Malaysia,663,4,"92.30.1 continue efforts as to ensure that MDG1 and national targets can be achieved for 2015 as planned, so that its population be able to fully enjoy the rights inherent to a decent and respectable life (Malaysia, Cuba);",support,3207,Jordan,[],,2009,['continue'],[]
40,Cuba,663,4,"92.30.1 continue efforts as to ensure that MDG1 and national targets can be achieved for 2015 as planned, so that its population be able to fully enjoy the rights inherent to a decent and respectable life (Malaysia, Cuba);",support,3208,Jordan,[],,2009,['continue'],[]
615,Algeria,663,4,"92.33 Share its experience and best practices, with other interested countries, on the protection and consolidation of the right of persons with disabilities and exchange experience with interested countries (Algeria);",support,3211,Jordan,['disabilities'],,2009,[],[]
760,Bhutan,663,4,"92.33.3 consider stepping up positive efforts, through greater investment in the health sector to strengthen existing services (Bhutan);",support,3214,Jordan,['health'],,2009,[],[]
600,Morocco,663,4,"92.40 Benefit from its successful experiences in the areas contained in the national report, which focuses on the challenges, and request the necessary technical assistance from the relevant international organizations (Morocco);",support,3225,Jordan,[],,2009,"['report', 'assistance']",[]
40,Cuba,212,4,53.18 Continue applying its commitment to allocate 0.7 per cent of its GDP to official development assistance and encourage its partners in the European Union and OECD to replicate this good practice (Cuba). );,consider,3339,Luxembourg,[],,2009,['continue'],[]
615,Algeria,820,4,"104.35 Strengthen the monitoring mechanism at the federal and district level to ensure that the programmes on poverty eradication reach the intended target group, as well as to share best practices with interested developing countries (Algeria);",support,3472,Malaysia,['poverty'],,2009,[],[]
40,Cuba,820,4,104.39 Continue positive efforts directed at eradicating poverty (Cuba);,support,3477,Malaysia,['poverty'],,2009,['continue'],[]
40,Cuba,820,4,"104.43 Continue with positive efforts to promote economic, social and cultural rights, particularly the priority given to health, education and the care of disabled (Cuba);",support,3482,Malaysia,"['culture', 'education', 'health', 'disabilities']",,2009,['continue'],[]
625,Sudan,820,4,"104.52 Share in detail and through the appropriate mechanisms of the Council, its achievements, experiences and lessons drawn in the following areas: (a) how it managed to bring down poverty rates in urban and rural areas in a consistent and progressive way during the last 35 years; (b) how the establishment of the Anti-Corruption Academy in Malaysia helped and continues to help fighting corruption and raising awareness (Sudan);",support,3494,Malaysia,"['corruption', 'poverty']",,2009,"['continue', 'establish']",[]
704,Uzbekistan,820,4,"104.56.2 Share its experience and best practices with other developing countries in the area of poverty eradication, in particular between the rural and urban population (Uzbekistan);",support,3500,Malaysia,['poverty'],,2009,[],[]
696,United Arab Emirates,820,4,104.56.3 Share its experience and good practices with other developing countries with respect to poverty eradication (The United Arab Emirates);,support,3501,Malaysia,['poverty'],,2009,[],[]
771,Bangladesh,820,4,104.56.4 Share its experiences and best practices in poverty alleviation with other developing countries (Bangladesh);,support,3502,Malaysia,['poverty'],,2009,[],[]
812,Laos,820,4,"104.57 Share its experiences and best practices with other countries in the area of poverty eradication, especially in developing small and medium-sized enterprises (Lao People's Democratic Republic);",support,3503,Malaysia,['poverty'],,2009,[],[]
775,Myanmar,820,4,104.58 Continue to share and extend its experience and best practices in the efforts in developing comprehensive policies and strategies for the advancement of indigenous groups which focus on uplifting the status and quality of life of the community via socio-economic programmes (Myanmar);,support,3504,Malaysia,['indigenous'],,2009,['continue'],[]
40,Cuba,820,4,"104.59 Share with the international community their good practices in matters of access to health, particularly the advantages of the teleprimary care system (Cuba);",support,3505,Malaysia,['health'],,2009,[],['int-community']
840,Philippines,820,4,104.60 Share its best practices and strategies on reduction of maternal mortality rates (The Philippines);,support,3506,Malaysia,"['health', 'women']",,2009,[],[]
483,Chad,820,4,104.62 Continue its positive efforts to improve the human rights situation in its country (Chad). );,support,3508,Malaysia,[],,2009,['continue'],[]
820,Malaysia,590,4,80.15.1 Encourage Mauritius to continue with its positive efforts in promoting and protecting human rights of its people and share its experience in this area with other countries (Malaysia);,support,3641,Mauritius,[],,2009,['continue'],[]
840,Philippines,221,4,"80.21 Share with the members of the international community its best practices and policies and programmes, including educational programmes, with respect to women, children, older persons and persons with disabilities (Philippines);",support,3890,Monaco,"['elderly', 'education', 'children', 'women', 'disabilities']",,2009,[],['int-community']
771,Bangladesh,221,4,80.23 Make sustained efforts to realize its commitments to contribute to the achievement of internationally-agreed development goals by raising its aid financing to at least 0.7 per cent of its GDP to reinforce the suggestions made by different Treaty Bodies (Bangladesh). );,support,3892,Monaco,['poverty'],,2009,[],[]
522,Djibouti,475,4,103.6 Continue on achievements in the field of human rights (Djibouti);,consider,4055,Nigeria,[],,2009,['continue'],[]
600,Morocco,475,4,"103.6.2 consolidate its achievements in the human rights field and continue to reinforce its efforts to promote good governance, democracy and rule of law (Morocco);",consider,4057,Nigeria,"['governance', 'self-determ']",,2009,['continue'],[]
370,Belarus,475,4,103.29.2 Foster the further development of education for girls and the achievement of gender equality (Belarus);,consider,4128,Nigeria,"['education', 'children', 'discrimination', 'women']",,2009,[],[]
615,Algeria,475,4,"103.32.6 Formulate specific technical assistance requests in order to promote the achievement of the Millennium Development Goals and to address them to relevant United Nations bodies and mechanisms, in particular to OHCHR (Algeria);",consider,4146,Nigeria,['poverty'],,2009,[],['un']
731,North Korea,365,4,85.19 Continue with its current positive efforts for furtherance of the human rights protection (Democratic People's South Korea);,consider,4188,Russia,[],,2009,['continue'],[]
40,Cuba,365,4,85.52 Continue its positive efforts to consolidate the areas of health and education especially for disabled children (Cuba) );,consider,4253,Russia,"['education', 'children', 'health', 'disabilities']",,2009,['continue'],[]
40,Cuba,365,4,"85.53 Continue its positive efforts to promote and protect economic, social and cultural rights and combat poverty (Cuba);",consider,4254,Russia,"['culture', 'poverty']",,2009,['continue'],[]
679,Yemen,670,4,"87.38 Share its good practices in terms of affording decent housing for vulnerable groups, so that others could benefit from such a positive experience (Yemen);",consider,4335,Saudi Arabia,['infrastructure'],,2009,[],[]
40,Cuba,345,4,57.8 To continue its positive efforts to promote and protect children rights and to attain full empowerment of women (Cuba);,consider,4384,Serbia,"['children', 'women']",,2009,['continue'],[]
359,Moldova,317,4,"89.87 Share with the members of the international community its best practices regarding human rights, particularly on the new policy on domestic violence and persons with disabilities (Republic of Moldova);",consider,4562,Slovakia,"['sex-violence', 'disabilities', 'women']",,2009,[],['int-community']
70,Mexico,947,4,"68.10 That features of Tuvalu's legal framework, which incorporates customary law but excludes those precepts which may be perceived as violations of human rights, and which always give precedence to the interpretation of law that is compatible with the international obligations, be singled out as good practices in the field of human rights (Mexico). );",consider,4689,Tuvalu,[],,2009,[],[]
670,Saudi Arabia,696,4,91.4 To continue its achievements in the area of human rights and to take them into account as an encouraging factor for the promotion and protection of human rights (Saudi Arabia);,support,4693,United Arab Emirates,[],,2009,['continue'],[]
840,Philippines,696,4,91.23 To share its experiences and best practices with other countries in establishing national legislation and mechanisms and pursuing international cooperation to curb human trafficking (Philippines);,support,4712,United Arab Emirates,['trafficking'],,2009,"['cooperate', 'establish']",[]
780,Sri Lanka,165,4,78.23 Continue with its excellent national plan to combat all forms of discrimination and make the results available in English so that countries like Sri Lanka can absorb them as best practices (Sri Lanka);,support,4775,Uruguay,['discrimination'],,2009,['continue'],[]
660,Lebanon,816,4,99.50 Uphold the progress it has achieved in ensuring religious freedom for the different communities and ensuring that religious and belief activities continue to be an enriching feature of Vietnamese society (Lebanon);,support,5009,Vietnam,['religion'],,2009,['continue'],[]
615,Algeria,816,4,"99.84 Share best practices and experience in the field of MDG 1 with interested countries, inter alia by contributing actively to the strengthening of South-South cooperation in this regard (Algeria);",support,5044,Vietnam,[],,2009,['cooperate'],[]
811,Cambodia,816,4,"99.85 Continue its sustainable efforts and share its experiences and best practices in the area of poverty reduction with other developing countries, especially through the programme of South-South cooperation, along with its participation in international efforts to promote the right to development (Cambodia);",support,5045,Vietnam,['poverty'],,2009,"['continue', 'cooperate']",[]
775,Myanmar,816,4,"99.86 Further intensify its engagement with the international community, especially with developing countries, to exchange and share its best practices relating to the efforts on strengthening the rule of law and socio-economic development (Myanmar);",support,5046,Vietnam,"['governance', 'poverty']",,2009,[],['int-community']
812,Laos,816,4,"99.90 Share its experiences and best practices, especially on how to achieve the MDGs, with other countries (Lao People's Democratic Republic);",support,5052,Vietnam,[],,2009,[],[]
101,Venezuela,816,4,99.92 Share with other countries its successes and good practices on the guiding principles of solidarity and socialism (Venezuela);,support,5054,Vietnam,['socialism'],,2009,[],[]
101,Venezuela,679,4,"91.91 Carry on its important achievement in supporting vulnerable groups, especially those living in rural areas (Venezuela);",support,5163,Yemen,[],,2009,[],[]
552,Zimbabwe,540,4,"87.141 To build on the momentum achieved this far in the construction of social housing, with a view to reversing the housing deficit (Zimbabwe);",consider,5465,angola,['infrastructure'],,2010,[],[]
433,Senegal,540,4,"87.146 To continue the implementation of strategies for ensuring the achievement of Millennium Development Goals, in particular with respect to promoting health, combating HIV/AIDS, increasing the vaccination of the population through the expanded vaccination programme, and reducing the illiteracy rate (Senegal);",consider,5470,angola,"['education', 'hiv', 'health', 'poverty']",,2010,"['continue', 'implement']",[]
530,Ethiopia,540,4,"87.155 To take further measures aimed at consolidating its achievements with regard to expanding education to disadvantaged areas, by according special attention to the rights of girls, especially in nomadic communities (Ethiopia);",consider,5479,angola,"['education', 'children', 'women']",,2010,['take-measures'],[]
437,Cote d'Ivoire,540,4,"87.156 To step up the implementation of programmes aimed at reducing illiteracy, as part of the achievement of the Millennium Development Goals (Cote d'Ivoire);",consider,5480,angola,"['education', 'poverty']",,2010,['implement'],[]
760,Bhutan,370,4,97.26. Continue its good practices such as compensation for victims of human trafficking and the establishment of institutions such as the international training centre on human trafficking and migration (Bhutan);,support,5695,belarus,"['migrants', 'trafficking']",,2010,"['continue', 'establish']",[]
705,Kazakhstan,370,4,97.27..1 continue efforts and share best practices on combating human trafficking both nationally and internationally by closely cooperating with concerned parties (Kazakhstan);,support,5701,belarus,['trafficking'],,2010,"['continue', 'cooperate']",[]
771,Bangladesh,370,4,97.27..3 share its best practices in the area of combating trafficking in women and children with other countries in contemporary situation (Bangladesh);,support,5703,belarus,"['children', 'women', 'trafficking']",,2010,[],[]
731,North Korea,370,4,"97.34..1 continue its positive efforts aimed at raising the status of women in the society, protecting maternity and supporting the family (Democratic People's South Korea);",support,5714,belarus,['women'],,2010,['continue'],[]
702,Tajikistan,370,4,97.38..1 continue the efforts to promote interreligious dialogue and share its experience and good practices with other countries (Tajikistan);,support,5719,belarus,['religion'],,2010,['continue'],[]
651,Egypt,370,4,97.53. Share its experiences in relation to the achievement of the development goals set out in the Millennium Declaration (Egypt);,support,5742,belarus,['poverty'],,2010,[],[]
812,Laos,370,4,"97.54. Continue to carry out reforms in the country in order to fully ensure the protection of human rights and the rule of law in the country, and continue to exchange best practices on combating human trafficking, advancement of women and protection of the rights of the child and family with all United Nations member countries (Lao People's Democratic Republic);",support,5744,belarus,"['children', 'governance', 'women', 'trafficking']",,2010,['continue'],['un']
780,Sri Lanka,760,4,"101.12 Consider, as appropriate, learning and adopting, in accordance with national conditions, the best practices of other developing countries on the functioning of the oversight mechanisms (Sri Lanka);",consider,5854,bhutan,[],,2010,[],[]
840,Philippines,760,4,101.83 Share its experiences and best practices internationally on the concept of Gross National Happiness (Philippines);,consider,5954,bhutan,[],,2010,[],[]
760,Bhutan,835,4,89.27 Continue to carry out its excellent effort to ensure nine years' compulsory education for all children from the age of six (Bhutan);,support,6142,Brunei,"['education', 'children']",,2010,['continue'],[]
811,Cambodia,835,4,"89.29 Share its experience with other developing countries with respect to its achievements, especially in welfare, education and health sectors (Cambodia);",support,6144,Brunei,"['education', 'health']",,2010,[],[]
816,Vietnam,835,4,89.29.1 share its experience on achievements in areas such as education and health care (Viet Nam);,support,6145,Brunei,"['education', 'health']",,2010,[],[]
760,Bhutan,835,4,89.29.2 consider sharing best practices from its health-care system through relevant United Nations agencies (Bhutan);,support,6146,Brunei,['health'],,2010,[],['un']
630,Iran,835,4,89.30 Share with other Member States its experiences and best practices in achieving almost all targets of the Millennium Development Goals and eradicating extreme poverty (Islamic Republic of Iran);,support,6147,Brunei,['poverty'],,2010,[],[]
373,Azerbaijan,835,4,89.31 Share its positive experience and best practices with other countries regarding the high level of ethnic and religious tolerance in Brunei Darussalam (Azerbaijan);,support,6148,Brunei,"['religion', 'ethnic']",,2010,[],[]
200,United Kingdom,811,4,"82.100 develop an effective, transparent and fair resettlement policy and process that is based on national consultations and international best practice and suspend all planned resettlements until this framework is in place (United Kingdom);",consider,6345,cambodia,['domest-movement'],,2010,[],[]
205,Ireland,811,4,"82.111 Ensure transparent management of oil, gas and mineral revenues to meet the social and economic rights of people living in Cambodia by adopting international best practice, in particular implementation of the Extractive Industries Transparency Initiative (Ireland);",consider,6357,cambodia,['poverty'],,2010,['implement'],[]
40,Cuba,811,4,"82.132 continue its positive efforts in fighting poverty, with the assistance of international community, in particular the more developed countries, which should redouble cooperation with this small developing country (Cuba);",consider,6379,cambodia,['poverty'],,2010,"['continue', 'cooperate', 'assistance']",['int-community']
