text,to,decision,From,year
96.1  Sign the Optional Protocol to the Convention against Torture (France);,afghanistan,consider,France,2009
"86.14.1 establish a mechanism that will meet regularly with the effective participation of civil society organizations and indigenous peoples, and have national reach to implement all Canada’s international obligations and facilitate the acceptance of pending commitments, (Mexico);",canada,consider,Mexico,2009
"86.14.2 consider measures to make the Continuing Committee of Officials on Human Rights more operational, ensure its better accessibility for the civil society enabling thus a permanent dialogue process on international human rights obligations including those from the Universal Periodic Review (Slovakia);",canada,consider,Slovakia,2009
"86.15   Effectively implement United Nations treaty bodies’ recommendations and as appropriate on indigenous people (Azerbaijan, Jordan);",canada,consider,Azerbaijan,2009
"86.15   Effectively implement United Nations treaty bodies’ recommendations and as appropriate on indigenous people (Azerbaijan, Jordan);",canada,consider,Jordan,2009
"86.15.1 implement in national norms, the commitments made when ratifying the ICESCR and the CERD through the implementation of the recommendations which have come out of their respective Committees (Bolivia);",canada,consider,Bolivia,2009
"86.15.2 analyze United Nations treaty bodies recommendations in consultation with representatives of the civil society, including indigenous people, and implement them or publicly report on the reasons why it considers no implementation is more appropriate (Portugal);",canada,consider,Portugal,2009
86.15.3 include participation of civil society (in mechanisms and procedures that are in place for national follow up to recommendations of treaty bodies) and publication of the concluding recommendations of treaty bodies (Czech Republic);,canada,consider,Czech Republic,2009
"86.16   Closely monitor the situation of other disadvantaged groups such as women migrant workers, women prisoners and victims of trafficking (Turkey);",canada,consider,Turkey,2009
86.17   Develop a national strategy to eliminate poverty (Russian Federation);,canada,consider,Russia,2009
"86.18   Accept the pending visit request of the Special Rapporteur on the human rights of migrants, which is pending since 2006 (Pakistan);",canada,consider,Pakistan,2009
"86.19   Give the highest priority to addressing the fundamental inequalities between some of its citizens including through its policy agenda focused on five key areas of economic development: education, citizen empowerment and protection of the vulnerable, resolution of land claims and reconciliation, governance and self-government (United Kingdom);",canada,consider,United Kingdom,2009
"86.20   Continue policies and programmes aimed at reducing inequalities that still exist between the Aboriginal, recent immigrants and other Canadians (Vietnam);",canada,consider,Vietnam,2009
"86.21   Reconsider its withdrawal from the preparatory process of the Durban Review Conference and positively contribute to the global efforts to combat racism, racial discrimination, xenophobia and related intolerance (Egypt);",canada,consider,Egypt,2009
86.21.1 Revise its decision not to participate in the Durban Review Conference on racism due to take place in April this year in Geneva (Russian Federation);,canada,consider,Russia,2009
"86.22   Intensify efforts to combat racism, racial discrimination and xenophobia (Azerbaijan);",canada,consider,Azerbaijan,2009
86.23   Apply provisions of its hate-speech law in a non-selective manner to cover all acts and incidents that may lead to incitement to racial and religious hatred and violence (Pakistan);,canada,consider,Pakistan,2009
"86.24   Consider taking more resolute action to prevent and punish perpetrators of racially motivated acts of violence against members of the Muslim and Arab communities, the indigenous population, Canadian citizens of foreign origin, foreign workers, refugees and asylum-seekers (Malaysia);",canada,consider,Malaysia,2009
86.25   Give appropriate attention to end racial discrimination against the Arab and Muslim communities in Canada including racial and religious profiling (Syrian Arab Republic);,canada,consider,Syria,2009
"86.26   Review its discriminatory national laws on security and adopt sensitization campaigns to protect against racial profiling and stereotyping on the grounds of nationality, ethnicity, descent and race, with regards to terrorism, as suggested by CERD (Indonesia);",canada,consider,Indonesia,2009
"86.27   Takes further measures to ensure effective implementation of CEDAW at the federal, provincial and territorial levels, giving particular attention to the Aboriginal women and girls (Turkey);",canada,consider,Turkey,2009
"86.27.1 continue efforts to tackle discrimination against Aboriginal women in all sectors of society, including employment, housing, education and health care (Finland);",canada,consider,Finland,2009
"86.27.2 take measures to combat socio-economic discrimination, which is a cause of continuous violence against Aboriginal women, and to inform them better of their rights (Belgium);",canada,consider,Belgium,2009
86.27.3 consider taking additional steps to address discrimination against disabled adult women and Aboriginal women (United Kingdom);,canada,consider,United Kingdom,2009
86.28   Take effective measures to combat and put an end to discrimination against indigenous population and to elaborate and implement a National Action Plan to deal with this phenomenon (Azerbaijan);,canada,consider,Azerbaijan,2009
"86.28.1 address root causes of discriminations, ensure effective access to justice, establish immediate means of redress and protection of rights of ethno.minorities, in particular, Aboriginals (Islamic Republic of Iran);",canada,consider,Iran,2009
86.29   Apply the Yogyakarta principles as a guide to assist in further policy development (The Netherlands);,canada,consider,Netherlands,2009
86.30   Denounce its policy of no longer seeking clemency for Canadians convicted and given the death penalty in countries deemed to have the rule of law” (Denmark);,canada,consider,Denmark,2009
86.30.1 consider reinstating the policy of seeking clemency for all Canadian citizens sentenced to death in other countries (The Netherlands);,canada,consider,Netherlands,2009
86.31   Re-consider the approach on the nature of prohibition of torture and to review the non-refoulement principles in its domestic legislation (Brazil);,canada,consider,Brazil,2009
86.32   Submit to scrutiny the regulations governing the use of Taser weapons with a view to adopting legislation that would explicitly place them in the category of weapons” and prescribe more rigorous procedures for their possession and use (Italy);,canada,consider,Italy,2009
"86.33   Consider taking on board CEDAW recommendations to criminalise domestic violence (Malaysia, Italy, Mexico);",canada,consider,Malaysia,2009
"86.33   Consider taking on board CEDAW recommendations to criminalise domestic violence (Malaysia, Italy, Mexico);",canada,consider,Italy,2009
"86.33   Consider taking on board CEDAW recommendations to criminalise domestic violence (Malaysia, Italy, Mexico);",canada,consider,Mexico,2009
86.33.1 Ensure to victims of domestic violence effective access to immediate means of protection and reinforcing prosecution of perpetrators (Italy);,canada,consider,Italy,2009
86.33.2 adequately investigate and sanctioning those responsible for the death and disappearance of indigenous women (Mexico);,canada,consider,Mexico,2009
86.33.3 take measures to help effective access to justice for victims of domestic violence and provide immediate means of redress and protection (Austria);,canada,consider,Austria,2009
"86.34   Implement in national legislation the prohibition and criminalization of all types of violence against women and children, specially indigenous women and children, in accordance with the commitments acquired in the corresponding Conventions (Bolivia);",canada,consider,Bolivia,2009
"86.35   Take the necessary measures to end violence against women including domestic violence and against aboriginal women, and implement CEDAW and the Human Rights Committee recommendations in this context (Syrian Arab Republic);",canada,consider,Syria,2009
"86.36   Adopt further measures to ensure: accountability of the police for their proper, sensitive and effective conduct in cases of violence against women; and better protection of in particular aboriginal women against all violence, including through addressing their low socio-economic status and discrimination against them; better accessibility of alternative/protected housing for victims of domestic violence (Czech Republic);",canada,consider,Czech Republic,2009
86.37   Systematically investigate and collect data on violence against women and to disseminate this information (Belgium);,canada,consider,Belgium,2009
"86.38   Institute comprehensive reporting and statistical analysis of the scale and character of violence against indigenous women, so that a national strategy can be initiated, in consultation with indigenous representatives, to respond to the severity of the issues (Norway);",canada,consider,Norway,2009
"86.38.1 study and address the root causes of domestic violence against women, in particular Aboriginal women (Austria);",canada,consider,Austria,2009
86.39   Conduct a review of the effectiveness of its legislation relevant to trafficking in human beings and implement reforms where necessary to strengthen the protection of the rights of victims of trafficking (Slovakia);,canada,consider,Slovakia,2009
86.40   Strengthen enforcement legislation and programmes regarding prohibition of commercial sexual exploitation of children (Philippines);,canada,consider,Philippines,2009
86.41   Ensure that any complaint of violations of international human rights obligations can be examined in Canadian courts and effective adequate remedies will be provided to victims (Portugal);,canada,consider,Portugal,2009
86.42   Alter detention and prison facilities as well as standards of treatment for juveniles so that they are gender sensitive and ensure effective protection of detainees’ and prisoners’ personal safety (Czech Republic);,canada,consider,Czech Republic,2009
86.43   Ensure the full implementation of legislation prohibiting discrimination in employment and all discriminatory practices in the labour market and that further measures be taken to reduce unemployment among minority groups (Egypt);,canada,consider,Egypt,2009
"86.44   In line with CERD and CEDAW recommendations, to implement fully the antidiscrimination legislation in the labour market including considering the adoption of temporary special measures (Slovakia);",canada,consider,Slovakia,2009
86.44.1 take the necessary measures to end discrimination against women in workplaces and implement ILO and CESCR recommendations to ensure equal remuneration for work of equal value in public and private sectors (Syrian Arab Republic);,canada,consider,Syria,2009
"86.45   Integrate economic social and cultural rights in its poverty reduction strategies in a way that can benefit the most vulnerable groups in society, specially the Aborigines, afro-Canadians, migrants, persons with disabilities, youth, women with low incomes, and single mothers and adopt all necessary measures, including the full implementation of the United Nations Declaration on the Rights of Indigenous Peoples, to guarantee Aboriginals the full enjoyment of their rights including economic, social and cultural so that their standard of living was similar to that of the rest of the citizens in Canada (Cuba);",canada,consider,Cuba,2009
86.46   Establish policies to improve healthcare and general welfare of indigenous children (Indonesia);,canada,consider,Indonesia,2009
"86.47   Consider taking on board the recommendation of the Special Rapporteur on adequate housing, specifically to extend and enhance the national homelessness programme and the Residential Rehabilitation Assistance Programme (Malaysia);",canada,consider,Malaysia,2009
"86.48   Intensify the efforts already undertaken to better ensure the right to adequate housing, especially for vulnerable groups and low income families (Vietnam);",canada,consider,Vietnam,2009
86.49   Continue to address socio-economic disparities and inequalities that persist across the country (Turkey);,canada,consider,Turkey,2009
"86.50   Intensify its efforts to ensure that higher education is equally accessible to all, on the basis of capacity (Liechtenstein);",canada,consider,Liechtenstein,2009
"86.51   Implement all international human rights instruments related to Aboriginals, women, Arabs, Muslims and other religious minorities, migrants and refugees and enhance and protect their rights against violations (Saudi Arabia);",canada,consider,Saudi Arabia,2009
"86.52   Reconsider its stance, endorse, support and fully implement the United Nations Declaration on the Rights of Indigenous Peoples (Norway, Denmark, Pakistan);",canada,consider,Norway,2009
"86.52   Reconsider its stance, endorse, support and fully implement the United Nations Declaration on the Rights of Indigenous Peoples (Norway, Denmark, Pakistan);",canada,consider,Denmark,2009
"86.52   Reconsider its stance, endorse, support and fully implement the United Nations Declaration on the Rights of Indigenous Peoples (Norway, Denmark, Pakistan);",canada,consider,Pakistan,2009
86.52.1 continue consultations on the issue with all stakeholders with a view to being able to support the Declaration on the Rights of Indigenous Peoples in the future (Austria);,canada,consider,Austria,2009
"86.52.2 take the provisions of the Declaration on the Rights of Indigenous Peoples into account in the national legislation, because the Declaration is a United Nations document and represents guidelines for the conduct of States (Bolivia);",canada,consider,Bolivia,2009
"86.53   Strengthen or adopt, as necessary, specific programmes to ensure appropriate representation of minority communities at all levels of government, and adopt broad and effective national measures to end discriminatory approaches to law enforcement and provide victims with effective recourse and remedies (Egypt);",canada,consider,Egypt,2009
"86.54   Strengthen and enlarge existing programmes and take more and specific measures towards Aboriginals, particularly with regard to the improvement of housing, educational opportunities, especially after elementary school, employment, and that women’s and children’s rights are better safeguarded, in consultation with civil society (The Netherlands);",canada,consider,Netherlands,2009
86.55   Ensure that all consultation and consent duties are respected by all responsible government agencies at federal and provincial level as well as to ensure that the relevant recommendations of United Nations treaty bodies are fully taken into account and that the specific claims processes do not restrict the progressive development of Aboriginal rights in the country (Austria);,canada,consider,Austria,2009
86.56   Reinforce efforts to settle territorial claims and improves the mechanism of conflict resolution (Switzerland);,canada,consider,Switzerland,2009
86.57   Increase efforts to enhance the protection of the human rights of migrants and hold open consultations with civil society on the ICRMW (Philippines);,canada,consider,Philippines,2009
"86.58  Launch a comprehensive review leading to legal and policy reforms which protect the rights of refugees and migrants, including rights to family reunification and enact legislation creating an offence for racial violence, and design and implement training for judges and prosecutors on the nature of hate crimes on the basis of race (Egypt);",canada,consider,Egypt,2009
86.59   Continue efforts to bring its system of security certificates concerning immigration into compliance with international human rights standards (Switzerland);,canada,consider,Switzerland,2009
"86.60   Make its immigration procedures more transparent and objective and take concrete measures to avoid the misuse of procedures to profile on the basis of race, religion and origin (Pakistan);",canada,consider,Pakistan,2009
"86.61   Start awareness campaigns aimed at protecting certain persons and certain groups against stereotyping that associates them with terrorism and to envisage an amendment to the anti-terrorism law to improve a specific clause against discrimination, and to amend relevant legislation or to adopt legislation to criminalise acts of racist violence, consistent with article 4 of ICERD (Algeria);",canada,consider,Algeria,2009
86.62   Widely publish the outcome of this universal periodic review and to make regular and inclusive consultation with civil society an integral part of the follow-up to the universal periodic review and also of the preparation of the next national report to the universal periodic review (Czech Republic);,canada,consider,Czech Republic,2009
86.63   Establish an effective and inclusive process to follow-up on the universal periodic review recommendations (Norway);,canada,consider,Norway,2009
86.63.1 that civil society be actively involved in the further universal periodic review process of Canada (The Netherlands);,canada,consider,Netherlands,2009
86.63.2 stablish an effective and inclusive process to follow-up on the universal periodic review recommendations in a thorough and timely (Denmark);,canada,consider,Denmark,2009
86.63.3 establish an effective and inclusive process to follow-up on the universal periodic review recommendations in a meaningful and participatory manner (Philippines);,canada,consider,Philippines,2009
86.63.4 establish an effective and inclusive process to follow-up on the universal periodic review recommendations in the implementation of the review (United Kingdom);,canada,consider,United Kingdom,2009
86.64   A similar system (as for treaty bodies) be created for the analysis and implementation of the recommendations resulting from the universal periodic review exercise (Portugal);,canada,consider,Portugal,2009
86.65   Associate itself with the consensus on the institution-building package whose objective is to equip the Council with the mechanisms and rules necessary for its operation and implementation of its mandate (Algeria);,canada,consider,Algeria,2009
86.66   Respect its human rights obligations and commitment without exception or ulterior consideration and take steps to address double standard and politicization in its human rights policies (Islamic Republic of Iran);,canada,consider,Iran,2009
"86.67   See to it that its action within and outside the Council was based on the commitments it has undertaken and on principles of objectivity, impartiality and non-selectivity (Algeria);",canada,consider,Algeria,2009
"86.68   Implement the voluntary pledges it presented as it applied to the Human Rights Council; namely, the principles of universality, objectivity and non-selectivity in the consideration of human rights issues, and the elimination of double standards and politicization in addressing human rights issues of different communities and peoples domestically and internationally (Syrian Arab Republic). );",canada,consider,Syria,2009
"63.1   To incorporate explicit prohibition of physical punishment into national legislation and monitor its implementation strictly, particularly in the case of police dealing with minors (Chile);",capeverde,consider,Chile,2009
"63.2   To increase efforts to address cases of sexual violence and exploitation against children, such as prostitution, through the judicial system, as recommended by the Committee on the Rights of the Child (Chile);",capeverde,consider,Chile,2009
"63.3   To maximize legislative, administrative and police measures to combat trafficking of women and girls, which particularly affects foreign women (Chile);",capeverde,consider,Chile,2009
"63.4   To introduce reforms to the judicial system to expedite the administration of justice, including the creation or increase in number of courts for lesser offences,  and to study the possibility of implementing a system of probation for those accused of lesser crimes and who do not pose a threat to society (Chile);",capeverde,consider,Chile,2009
63.5   To adapt national legislation to fulfil its obligations under the Committee on the Elimination of Racial Discrimination (Chile);,capeverde,consider,Chile,2009
63.6   To ratify the UNESCO Convention against Discrimination in Education (Algeria);,capeverde,consider,Algeria,2009
63.7   To accede to the Convention on the Protection and Punishment of the Crime of Genocide and the Convention on the Status of Refugees (Algeria);,capeverde,consider,Algeria,2009
63.8   To promote the establishment of places to care for and provide assistance to women victims of domestic violence (France);,capeverde,consider,France,2009
"63.9   To consider how to deal with minor delinquency in order to provide sentences suited to the age of offenders, to educate them and lead to their social reintegration (France);",capeverde,consider,France,2009
63.10   To take necessary measures to improve prison conditions (France);,capeverde,consider,France,2009
63.11   To consider working with the new OHCHR Regional Office in Dakar to develop a common-core document to simplify and streamline treaty body reporting procedures (Maldives);,capeverde,consider,Maldives,2009
63.12   To invite selected human rights special procedures with mandates of particular interest to Cape Verde to visit the country and make recommendations (Maldives);,capeverde,consider,Maldives,2009
"63.13   To adopt all necessary measures to put an end to the widespread practice of corporal punishment of minors at home, in school and by the police force, as recommended by the Committee on the Rights of the Child in 2003 (Germany);",capeverde,consider,Germany,2009
63.14   To take effective measures to fight the trafficking of foreign women and girls through its territory (Germany);,capeverde,consider,Germany,2009
63.15   To increase efforts to fulfil engagements and obligation stemming from ratified Conventions (Italy);,capeverde,consider,Italy,2009
"63.16   To take appropriate measures to combat sexual violence against children and child prostitution effectively, as a matter of priority (Italy);",capeverde,consider,Italy,2009
"63.17   To develop a national strategy for human rights education in the school system at all levels, in accordance with the plan of action 2005-2009 of the World Programme for Human Rights Education, including the review and revision of curricula and textbooks, the training of teachers and the practice of human rights in the school community (Italy);",capeverde,consider,Italy,2009
"63.18   To improve prisons and detention facilities, also by means of human rights training for law enforcement officials and prison officials (Italy);",capeverde,consider,Italy,2009
63.19   To continue to seriously improve the situation of children (Netherlands);,capeverde,consider,Netherlands,2009
63.20   To follow up the recommendations of the Committee on the Elimination of Racial Discrimination and the Committee on the Elimination of Discrimination against Women on discrimination against women (Luxembourg);,capeverde,consider,Luxembourg,2009
"63.21   To implement the recommendations of the Committee on the Rights of the Child on street children and their sexual exploitation, child prostitution, violence against children and child labour (Luxembourg);",capeverde,consider,Luxembourg,2009
63.22   To take all necessary measures to reduce the duration of pre-trial detention to conform to international standards (Canada);,capeverde,consider,Canada,2009
63.23   To respect article 5(a) of the Convention on the Elimination of All Forms of Discrimination against Women calling for countries to take appropriate measures to change socio-cultural stereotypes and practices (Canada);,capeverde,consider,Canada,2009
63.24   To strengthen the national human rights commission to meet the requirements of the Paris Principles (Mexico);,capeverde,consider,Mexico,2009
63.25   To ratify the Convention on the Rights of Persons with Disabilities (Mexico);,capeverde,consider,Mexico,2009
63.26   To ratify the Convention for the Protection of All Persons from Enforced Disappearance (Mexico);,capeverde,consider,Mexico,2009
63.27   To ratify the Optional Protocol to the Convention against Torture (Mexico);,capeverde,consider,Mexico,2009
63.28   To intensify efforts to address cases of sexual violence and exploitation of children (Mexico);,capeverde,consider,Mexico,2009
63.29   To establish courts for juveniles in conflict with the law (Mexico);,capeverde,consider,Mexico,2009
63.30   To intensify efforts to combat violence against women and to increase their participation in the labour market (Mexico);,capeverde,consider,Mexico,2009
63.31   To ratify the Optional Protocol to the Convention on the Elimination of All Forms of Discrimination against Women (Mexico);,capeverde,consider,Mexico,2009
63.32   To complete the ratification process of the Rome Statute as soon as possible and ensure that the Statute and the Agreement on Privileges and Immunities of the International Criminal Court are effectively implemented in national legislation (Portugal);,capeverde,consider,Portugal,2009
63.33   To give priority to the implementation of awareness-raising measures aimed at achieving gender equality in marriage and family relations (Portugal);,capeverde,consider,Portugal,2009
63.34   To effectively implement international labour standards with regard to children (Portugal);,capeverde,consider,Portugal,2009
63.35   To continue efforts to ensure that the action of police forces and conditions in places of detention meet international human rights standards fully (Sweden);,capeverde,consider,Sweden,2009
"63.36   To consider appropriate policy measures in order to promote tolerance and non.discrimination for lesbian, gay, bisexual and transgender persons (Sweden);",capeverde,consider,Sweden,2009
"63.37   To take further steps to address discrimination against women and vulnerable groups, including children (United Kingdom);",capeverde,consider,United Kingdom,2009
63.38   To draw up a timetable with OHCHR for addressing the backlog of reports and future work and to continue to collaborate with non-governmental organizations (United Kingdom);,capeverde,consider,United Kingdom,2009
"63.39   To strengthen its institutions and ratify key treaties, including the Optional Protocol to the Convention against Torture (United Kingdom);",capeverde,consider,United Kingdom,2009
63.40   To appeal to the international community to take into account difficulties and challenges faced in promoting human rights and to increase financial and technical assistance for capacity-building (China);,capeverde,consider,China,2009
63.41   To extend a standing invitation to all special procedures of the Council (Latvia);,capeverde,consider,Latvia,2009
63.42   To establish and provide adequate resources for a sufficient number of safe houses to shelter victims of domestic violence (Slovenia);,capeverde,consider,Slovenia,2009
63.43   To improve the efficiency of existing mechanisms for compensating victims of domestic violence (Slovenia);,capeverde,consider,Slovenia,2009
"63.44   To continue efforts to fight discrimination against women, aiming to change deep-rooted behaviours and attitudes (Angola);",capeverde,consider,Angola,2009
63.45   To reach the human rights goals set by the Council in its resolution 9/12 (Brazil);,capeverde,consider,Brazil,2009
"63.46   To consider ratifying the Rome Statute of the International Criminal Court, the Convention for the Protection of All Persons against Enforced Disappearance, the Convention on the Rights of Persons with Disabilities and the Optional Protocols to the Convention against Torture and the Convention on the Elimination of All Forms of Discrimination against Women (Brazil);",capeverde,consider,Brazil,2009
63.47   To consider extending a standing invitation to human rights special procedures (Brazil);,capeverde,consider,Brazil,2009
"63.48   To strengthen its policy to guarantee the rights of the child fully, with special attention to children without parental care (Brazil);",capeverde,consider,Brazil,2009
"63.49   To consider strengthening programmes to fight and prevent HIV/AIDS, with special attention to women and children (Brazil);",capeverde,consider,Brazil,2009
"63.50   To call on the international community for assistance in attaining its goals, including the Millennium Development Goals (Nigeria);",capeverde,consider,Nigeria,2009
"74.1   Consider ratifying the Convention on the Political Rights of Women (Argentina, Djibouti);",centralafricanrepublic,support,Argentina,2009
"74.1   Consider ratifying the Convention on the Political Rights of Women (Argentina, Djibouti);",centralafricanrepublic,support,Djibouti,2009
74.2   Consider ratifying the Optional Protocol to the Convention on the Elimination of All Forms of Discrimination against Women (Turkey);,centralafricanrepublic,support,Turkey,2009
74.2.1 Ratify the Optional Protocol to the Convention on the Elimination of All Forms of Discrimination against Women (Mexico);,centralafricanrepublic,support,Mexico,2009
74.3   Consider ratifying of the Convention on the Prevention and Punishment of the Crime of Genocide (Democratic Republic of the Congo);,centralafricanrepublic,support,Democratic Republic of the Congo,2009
"74.4   Ratify the Optional Protocol to the Convention on the Rights of the Child (CRC) on the involvement of children in armed conflict (Mexico, Austria);",centralafricanrepublic,support,Mexico,2009
"74.4   Ratify the Optional Protocol to the Convention on the Rights of the Child (CRC) on the involvement of children in armed conflict (Mexico, Austria);",centralafricanrepublic,support,Austria,2009
74.4.1 Consider ratifying the Optional Protocol to the Convention on the Rights of the Child (CRC) on the involvement of children in armed conflict (Djibouti);,centralafricanrepublic,support,Djibouti,2009
74.4.2 Sign and ratify the Optional Protocol to the Convention on the Rights of the Child (CRC) on the involvement of children in armed conflict and implement it nationally (Belgium);,centralafricanrepublic,support,Belgium,2009
74.5   Consider ratifying the Optional Protocols to the CRC (Turkey);,centralafricanrepublic,support,Turkey,2009
74.5.1 Timely ratify the Optional Protocols to the CRC (Japan);,centralafricanrepublic,support,Japan,2009
"74.6   Sign the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights (Gabon);",centralafricanrepublic,support,Gabon,2009
"74.6.1 Consider signing the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights; Consider signing the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights at the opening for signature ceremony in New York in 2009 (Portugal);",centralafricanrepublic,support,Portugal,2009
74.7   Continue efforts undertaken with a view to incorporating provisions of international instruments into domestic legislation and becoming a party to international instruments to which it is not yet a party (Chad);,centralafricanrepublic,support,Chad,2009
74.8   Continue to implement its poverty reduction strategy paper as a framework for dialogue and reference for all questions regarding national development policies (Tunisia);,centralafricanrepublic,support,Tunisia,2009
"74.9   Continue to address reinstating of the rule of law through a fair and transparent electoral process and governance reform, reducing poverty which has caused worsening security, establishing basic infrastructure and creating jobs, with the support of the United Nations and the international community (Japan);",centralafricanrepublic,support,Japan,2009
"74.10   With the support of the international community, further strengthen the national security forces and law enforcement agencies through various capacity-building measures (Bangladesh);",centralafricanrepublic,support,Bangladesh,2009
"74.11   Continue its extensive reforms with a view to addressing institutional shortcomings and weaknesses, and develop an integrated agenda of human rights and public security as well as the development agenda towards poverty and illiteracy eradication (Nigeria);",centralafricanrepublic,support,Nigeria,2009
"74.12   Consider implementing, with the assistance of OHCHR, a training and awareness-raising programme on international human rights and humanitarian law for members of the security forces, law enforcement officials and judicial officials (Algeria);",centralafricanrepublic,support,Algeria,2009
"74.13   In the context of reforming the security sector, review training materials used by security forces in order to include child protection as a preventive measure against recruiting children in the armed forces (Canada);",centralafricanrepublic,support,Canada,2009
74.14   Implement a thorough training and awareness programme in international humanitarian and human rights law for members of the security forces (United Kingdom);,centralafricanrepublic,support,United Kingdom,2009
74.15   Establish a permanent coordination structure for different security forces to consistently address various issues such as the training of the military and the provision of weapons to them; and ensure that members of the security forces receive training in humanitarian and human rights law and that they follow a programme for gender awareness at all ranks (Belgium);,centralafricanrepublic,support,Belgium,2009
"74.16   Ensure comprehensive training and education for all security forces and prison staff in human rights and international humanitarian law, and adopt legal and other necessary measures to ensure their full accountability for any violations of these norms (Czech Republic);",centralafricanrepublic,support,Czech Republic,2009
74.17   Continue efforts to promote all universally agreed human rights and fundamental freedoms (Egypt);,centralafricanrepublic,support,Egypt,2009
74.18   Continue resisting attempts to enforce any values or standards beyond the universally agreed ones (Egypt);,centralafricanrepublic,support,Egypt,2009
"74.19   Take all possible measures to ensure respect and promotion of international human rights law, international humanitarian law and international refugee law (Argentina);",centralafricanrepublic,support,Argentina,2009
"74.20   Further strengthen its cooperation with the international community, including OHCHR and treaty bodies (Republic of Korea);",centralafricanrepublic,support,South Korea,2009
74.21   Implement the recommendations made by the Human Rights Committee following its consideration of the country’s periodic report (Ghana);,centralafricanrepublic,support,Ghana,2009
"74.22   Progressively accomplish human rights goals as set forth in Human Rights Council resolution 9/12, in particular increased cooperation with all mechanisms of the United Nations human rights system, including special procedures and treaty bodies (Brazil);",centralafricanrepublic,support,Brazil,2009
"74.23   Further work to improve women’s political participation, educational opportunities and status in marriage and to reduce the maternal mortality rate (Japan);",centralafricanrepublic,support,Japan,2009
"74.24   Continue exercising its sovereign right of implementing its penal code in conformity with universally agreed human rights standards, including the application of the death penalty (Egypt);",centralafricanrepublic,support,Egypt,2009
"74.25   Continue to firmly fight arbitrary executions and impunity, assure the protection of the civilian population and promote the return of refugees and displaced persons to their regions of origin (Azerbaijan);",centralafricanrepublic,support,Azerbaijan,2009
74.26   Enhance awareness-raising campaigns to combat and eradicate female genital mutilation and other traditional practices harmful to young women (Italy);,centralafricanrepublic,support,Italy,2009
74.27   Continue efforts to combat violence against women and to eradicate negative traditions (Azerbaijan);,centralafricanrepublic,support,Azerbaijan,2009
74.28   Launch wide education campaigns against the phenomenon of violence against perceived witches together with concrete measures to protect victims or potential victims of such attacks (Czech Republic);,centralafricanrepublic,support,Czech Republic,2009
74.29   Demonstrate firm commitment to preventing the unlawful recruitment of child soldiers by directing the Ministry of the Interior to systematically monitor self-defence militias (United States of America);,centralafricanrepublic,support,United States,2009
"74.30   Take all necessary measures to combat the recruitment and use of children in hostilities, including by releasing children associated with the conflict (Mexico);",centralafricanrepublic,support,Mexico,2009
"74.31   Take appropriate action to adopt and amend domestic legislation, including the Penal Code, and effectively implement this legislation to protect children from all forms of violence (Slovenia);",centralafricanrepublic,support,Slovenia,2009
"74.32   Continue applying strategies to reduce criminality, address sexual abuse and child trafficking, and protect civilians from criminals (Angola);",centralafricanrepublic,support,Angola,2009
74.33   Continue efforts to put a halt to banditry and to help alleviate the suffering of its people by reforming its security services (Republic of the Congo);,centralafricanrepublic,support,Republic of the Congo,2009
"74.34   Strengthen efforts to guarantee minimum conditions for those held in police custody and detention centres in accordance with international standards, and follow up the specific recommendations of United Nations bodies in this regard (Netherlands);",centralafricanrepublic,support,Netherlands,2009
74.35   Continue strengthening its Court of Justice with a view to its carrying out its constitutional role without fear or favour (Nigeria);,centralafricanrepublic,support,Nigeria,2009
74.36   Take all appropriate action to end the impunity of perpetrators of human rights crimes and cooperate with the International Criminal Court in this regard (Slovenia);,centralafricanrepublic,support,Slovenia,2009
"74.37   Ensure that all reported human rights violations are investigated and that those responsible for such violations, including police officials and personnel within the security forces, are prosecuted and punished (Norway);",centralafricanrepublic,support,Norway,2009
74.38   Immediately investigate all cases of grave human rights violations and end impunity of perpetrators (Austria);,centralafricanrepublic,support,Austria,2009
"74.39   Implement legal sanctions against those who commit human rights abuses in the security forces, in addition to administrative sanctions such as dismissal (United Kingdom);",centralafricanrepublic,support,United Kingdom,2009
"74.40   Focus its attention more on the serious issues of combating impunity; investigate human rights violations systematically and prosecute and punish those responsible for such violations, without exception (Republic of Korea);",centralafricanrepublic,support,South Korea,2009
74.41   Ensure that members of the security forces suspected of violations of human rights or humanitarian law be rapidly handed over to justice for investigation and judgment; severe vetting action linked to recruiting and promotion is encouraged (Belgium);,centralafricanrepublic,support,Belgium,2009
"74.42   Continue national efforts in the area of disarmament, demobilization and reintegration and in the reform of institutions involved in security and promotion of the rule of law (Mexico);",centralafricanrepublic,support,Mexico,2009
74.43   Intensify measures to promote the rule of law while consolidating peace and stability through dialogue and national reconciliation mechanisms (Viet Nam);,centralafricanrepublic,support,Vietnam,2009
"74.44   Give human rights defenders legitimacy and recognition through supportive statements and ensure that they are protected in accordance with the United Nations Declaration on the Right and Responsibility of Individuals, Groups and Organs of Society to Promote and Protect Universally Recognized Human Rights and Fundamental Freedoms (Norway);",centralafricanrepublic,support,Norway,2009
"74.45   Adopt further measures to ensure in practice the protection of journalists against threats and attacks, including imprisonment in contravention of their right to freedom of expression (Czech Republic);",centralafricanrepublic,support,Czech Republic,2009
