country,review1,review2,report1,report2
Senegal,2009,2013,2009,2013
Serbia,2008,2013,2009,2013
Seychelles,2011,2016,2011,.
Sierra Leone,2011,2016,2011,.
Singapore,2011,2016,2011,.
Slovakia,2009,2014,2009,2014
Slovenia,2010,2014,2010,2014
Solomon Islands,2011,2016,2011,.
Somalia,2011,2016,2011,.
South Africa,2008,2012,2008,2012
South Sudan,.,2016,.,.
Spain,2010,2015,2010,.
Sri Lanka,2008,2012,2008,2012
Sudan,2011,2016,2011,.
Suriname,2011,2016,2011,.
Swaziland,2011,2016,2011,.
Sweden,2010,2015,2010,.
Switzerland,2008,2012,2008,2012
Syrian Arab Republic,2011,2016,2011,.
Tajikistan,2011,2016,2011,.
Thailand,2011,2016,2011,.
The Former Yugoslav Republic of Macedonia,2009,2014,2009,2014
Timor Leste,2011,2016,2011,.
Togo,2011,2016,2011,.
Tonga,2008,2013,2008,2013
Trinidad and Tobago,2011,2016,2011,.
Tunisia,2008,2012,2008,2012
Turkey,2010,2015,2010,.
Turkmenistan,2008,2013,2009,2013
Tuvalu,2008,2013,2009,2013
Uganda,2011,2016,2011,.
Ukraine,2008,2012,2008,2012
United Arab Emirates,2008,2013,2009,2013
United Kingdom,2008,2012,2008,2012
United Republic of Tanzania,2011,2016,2011,.
United States,2010,2015,2011,.
Uruguay,2009,2014,2009,2014
Uzbekistan,2008,2013,2009,2013
Vanuatu,2009,2014,2009,2014
Venezuela (Bolivarian Republic of),2011,2016,2011,.
Viet Nam,2009,2014,2009,2014
Yemen,2009,2014,2009,2014
Zambia,2008,2012,2008,2012
Zimbabwe,2011,2016,2011,.
